model,r2,ev,mae,rmse,training_time(ms),testing_time(ms),n_estimator
RandomForestRegressor,0.7629118258252765,0.7629265931561129,3.5440070873579512,4.674384909714985,18928.48229408264,298.4282970428467,50
GradientBoostingRegressor,0.7220496353603743,0.722050270450094,4.052337858065594,5.061195919881143,4187.723875045776,21.7740535736084,50
AdaBoostRegressor,0.6368689929381239,0.6390292998690956,4.813247926249435,5.784971080643053,5234.025478363037,208.33587646484375,50
XGBRegressor,0.7612104870295197,0.7612108606466514,3.6460280769541042,4.6911265634613635,174.03936386108398,16.143321990966797,50
RandomForestRegressor,0.7660343267214027,0.766067558568083,3.5183681013420465,4.643501573689333,37520.5614566803,585.1612091064453,100
GradientBoostingRegressor,0.7338766994786892,0.7338768528657303,3.9400517772694004,4.9523459575080295,8341.814041137695,33.921003341674805,100
AdaBoostRegressor,0.6369894695591356,0.6391161339691565,4.807844108900391,5.7840113559543305,5106.911182403564,196.6874599456787,100
XGBRegressor,0.7641586649842416,0.7641591558713262,3.6118426912118253,4.662077486595746,356.9023609161377,34.4996452331543,100
RandomForestRegressor,0.7666441066157803,0.766666788750155,3.5149602251673686,4.63744649476132,75135.21075248718,1171.3626384735107,200
GradientBoostingRegressor,0.7432978050912731,0.7432978299276288,3.849811086014186,4.863896402911619,16603.9879322052,55.55295944213867,200
AdaBoostRegressor,0.6331851786549744,0.6352377421001321,4.83013636475516,5.8142401101163355,5840.921401977539,246.91271781921387,200
XGBRegressor,0.765263922136595,0.7652650696104697,3.594686686795943,4.651140375540346,441.6682720184326,39.7343635559082,200
RandomForestRegressor,0.7675475519260601,0.7675712498702366,3.511166438696226,4.628460772958943,188181.8208694458,2913.5448932647705,500
GradientBoostingRegressor,0.7539398934419603,0.7539403901530284,3.7465415212412707,4.762008092131302,41279.81972694397,119.68779563903809,500
AdaBoostRegressor,0.6401387890082575,0.6420466971906604,4.774424742815937,5.758866934396687,4987.017869949341,181.64467811584473,500
XGBRegressor,0.7617082954003934,0.7617104930407986,3.604646857417818,4.68623417850386,1082.998514175415,87.39185333251953,500
